id,user_id,tournament_id,group_name,slot_index,player_name
1,1,2,1-2,0,(1)Aryna Sabalenka (BLR)
2,1,2,3-4,0,(4)Jessica Pegula (USA)
3,1,2,5-8,0,(8)Elina Svitolina (UKR)
4,1,2,9-16,0,(11)Belinda Bencic (SUI)
5,1,2,9-16,1,(9)Linda Noskova (CZE)
6,1,2,17-32,0,(26)Madison Keys (USA)
7,1,2,17-32,1,(23)Emma Navarro (USA)
8,1,2,17-32,2,(29)Alexandra Eala (PHI)
9,1,2,Unseeded,0,Katie Boulter (GBR)
10,1,2,Unseeded,1,Jelena Ostapenko (LAT)
11,1,1,1-2,0,(1)Jannik Sinner (ITA)
12,1,1,3-4,0,(4)Ben Shelton (USA)
13,1,1,5-8,0,(7)Novak Djokovic (SRB)
14,1,1,9-16,0,(12)Andrey Rublev (RUS)
15,1,1,9-16,1,(13)Jiri Lehecka (CZE)
16,1,1,17-32,0,(21)Tommy Paul (USA)
17,1,1,17-32,1,(22)Alejandro Davidovich Fokina (ESP)
18,1,1,17-32,2,(17)Frances Tiafoe (USA)
19,1,1,Unseeded,0,Kamil Majchrzak (POL)
20,1,1,Unseeded,1,Matteo Berrettini (ITA)
21,2,2,1-2,0,(1)Aryna Sabalenka (BLR)
22,2,2,3-4,0,(3)Iga Swiatek (POL)
23,2,2,5-8,0,(6)Amanda Anisimova (USA)
24,2,2,9-16,0,(14)Naomi Osaka (JPN)
25,2,2,9-16,1,(10)Karolina Muchova (CZE)
26,2,2,17-32,0,(22)Leylah Fernandez (CAN)
27,2,2,17-32,1,(18)Ekaterina Alexandrova (RUS)
28,2,2,17-32,2,(28)Ann Li (USA)
29,2,2,Unseeded,0,Serena Williams (USA)
30,2,2,Unseeded,1,Barbora Krejcikova (CZE)
31,2,1,1-2,0,(1)Jannik Sinner (ITA)
32,2,1,3-4,0,(3)Felix Auger Aliassime (CAN)
33,2,1,5-8,0,(7)Novak Djokovic (SRB)
34,2,1,9-16,0,(11)Casper Ruud (NOR)
35,2,1,9-16,1,(9)Flavio Cobolli (ITA)
36,2,1,17-32,0,(18)Francisco Cerundolo (ARG)
37,2,1,17-32,1,(19)Karen Khachanov (RUS)
38,2,1,17-32,2,(24)Joao Fonseca (BRA)
39,2,1,Unseeded,0,Matteo Berrettini (ITA)
40,2,1,Unseeded,1,Stefanos Tsitsipas (GRE)
