tournament_id,player_name,secured_round,eliminated,draw_position,seeding_group
1,(1)Jannik Sinner (ITA),-1,0,0,1-2
1,(2)Alexander Zverev (GER),-1,0,1,1-2
1,(3)Felix Auger Aliassime (CAN),-1,0,2,3-4
1,(4)Ben Shelton (USA),-1,0,3,3-4
1,(5)Alex De Minaur (AUS),-1,0,4,5-8
1,(6)Taylor Fritz (USA),-1,0,5,5-8
1,(7)Novak Djokovic (SRB),-1,0,6,5-8
1,(8)Daniil Medvedev (RUS),-1,0,7,5-8
1,(9)Flavio Cobolli (ITA),-1,0,8,9-16
1,(10)Alexander Bublik (KAZ),-1,0,9,9-16
1,(11)Casper Ruud (NOR),-1,0,10,9-16
1,(12)Andrey Rublev (RUS),-1,0,11,9-16
1,(13)Jiri Lehecka (CZE),-1,0,12,9-16
1,(14)Luciano Darderi (ITA),-1,0,13,9-16
1,(15)Jakub Mensik (CZE),-1,0,14,9-16
1,(16)Learner Tien (USA),-1,0,15,9-16
1,(17)Frances Tiafoe (USA),-1,0,16,17-32
1,(18)Francisco Cerundolo (ARG),-1,0,17,17-32
1,(19)Karen Khachanov (RUS),-1,0,18,17-32
1,(20)Arthur Fils (FRA),-1,0,19,17-32
1,(21)Tommy Paul (USA),-1,0,20,17-32
1,(22)Alejandro Davidovich Fokina (ESP),-1,0,21,17-32
1,(23)Rafael Jodar (ESP),-1,0,22,17-32
1,(24)Joao Fonseca (BRA),-1,0,23,17-32
1,(25)Arthur Rinderknech (FRA),-1,0,24,17-32
1,(26)Cameron Norrie (GBR),-1,0,25,17-32
1,(27)Ugo Humbert (FRA),-1,0,26,17-32
1,(28)Brandon Nakashima (USA),-1,0,27,17-32
1,(29)Tomas Martin Etcheverry (ARG),-1,0,28,17-32
1,(30)Alejandro Tabilo (CHI),-1,0,29,17-32
1,(32)Matteo Arnaldi (ITA),-1,0,30,17-32
1,Miomir Kecmanovic (SRB),-1,0,31,Unseeded
1,Marin Cilic (CRO),-1,0,32,Unseeded
1,Daniel Merida Aguilar (ESP),-1,0,33,Unseeded
1,Camilo Ugo Carabelli (ARG),-1,0,34,Unseeded
1,Sebastian Baez (ARG),-1,0,35,Unseeded
1,Jack Pinnington Jones (GBR),-1,0,36,Unseeded
1,Jan Lennard Struff (GER),-1,0,37,Unseeded
1,Martin Landaluce (ESP),-1,0,38,Unseeded
1,Alexandre Muller (FRA),-1,0,39,Unseeded
1,Michael Zheng (USA),-1,0,40,Unseeded
1,Nicolas Mejia (COL),-1,0,41,Unseeded
1,Thiago Agustin Tirante (ARG),-1,0,42,Unseeded
1,Juan Manuel Cerundolo (ARG),-1,0,43,Unseeded
1,Dino Prizmic (CRO),-1,0,44,Unseeded
1,Adolfo Daniel Vallejo (PAR),-1,0,45,Unseeded
1,Adam Walton (AUS),-1,0,46,Unseeded
1,Alexander Shevchenko (KAZ),-1,0,47,Unseeded
1,Ethan Quinn (USA),-1,0,48,Unseeded
1,Max Basing (GBR),-1,0,49,Unseeded
1,Shintaro Mochizuki (JPN),-1,0,50,Unseeded
1,Pablo Carreno Busta (ESP),-1,0,51,Unseeded
1,Sebastian Ofner (AUT),-1,0,52,Unseeded
1,Soon Woo Kwon (KOR),-1,0,53,Unseeded
1,Hamad Medjedovic (SRB),-1,0,54,Unseeded
1,Hubert Hurkacz (POL),-1,0,55,Unseeded
1,Ignacio Buse (PER),-1,0,56,Unseeded
1,Emilio Nava (USA),-1,0,57,Unseeded
